"Title","URL"
"Home","https://marketbookshelf.com/"
"Search","https://marketbookshelf.com/publications-search/"
"Submit","https://marketbookshelf.com/submit/"
"About","https://marketbookshelf.com/about/"
"Topics","https://marketbookshelf.com/topics/"
"Applying a Total Market Lens: Increased IUD Service Delivery Through Complementary Public- and Private- Sector Interventions in 4 Countries","https://marketbookshelf.com/publications/applying-a-total-market-lens-increased-iud-service-delivery-through-complementary-public-and-private-sector-interventions-in-4-countries/"
"MEASURE Evaluation Resources to Increase Access to Family Planning Through a Total Market Approach","https://marketbookshelf.com/publications/new-measure-evaluation-resources-to-increase-access-to-family-planning-through-a-total-market-approach/"
"Planning Guide for a Total Market Approach to Increase Access to Family Planning","https://marketbookshelf.com/publications/planning-guide-for-a-total-market-approach-to-increase-access-to-family-planning/"
"Planning Guide for a Total Market Approach to Increase Access to Family Planning – Module 2: In-depth Analyses of the Family Planning Market","https://marketbookshelf.com/publications/planning-guide-for-a-total-market-approach-to-increase-access-to-family-planning-module-2-in-depth-analyses-of-the-family-planning-market/"
"Total Market Initiatives for Reproductive Health","https://marketbookshelf.com/publications/total-market-initiatives-for-reproductive-health/"
"Handbook for Research on the Family Planning Market Volume 1: Using Data to Inform a Total Market Approach to Family Planning","https://marketbookshelf.com/publications/handbook-for-research-on-the-family-planning-market-volume-1-using-data-to-inform-a-total-market-approach-to-family-planning/"
"Handbook for Research on the Family Planning Market Volume 2: Tool and Resources for an In-depth Analysis of the Family Planning Market","https://marketbookshelf.com/publications/handbook-for-research-on-the-family-planning-market-volume-2-tool-and-resources-for-an-in-depth-analysis-of-the-family-planning-market/"
"Total Market Approach Stewardship Capacity Assessment Report","https://marketbookshelf.com/publications/total-market-approach-stewardship-capacity-assessment-report/"
"Market Development Approaches Working Group: Market Segmentation Primer","https://marketbookshelf.com/publications/market-development-approaches-working-group-market-segmentation-primer/"
"Condom social marketing in sub-Saharan Africa and the Total Market Approach","https://marketbookshelf.com/publications/condom-social-marketing-in-sub-saharan-africa-and-the-total-market-approach/"
"Cookies & Privacy","https://marketbookshelf.com/cookies-privacy/"
"HIP Social Marketing:  Leveraging the Private Sector to Increase Contraceptive Access, Choice and Use","https://marketbookshelf.com/publications/hip-social-marketing-leveraging-private-sector-increase-contraceptive-access-choice-use/"
"Social Marketing Models for Product-Based Reproductive Health Programs","https://marketbookshelf.com/publications/social-marketing-models-product-based-reproductive-health-programs/"
"A total market approach for condoms in Myanmar: the need for the private, public and socially marketed sectors to work together for a sustainable condom market for HIV prevention","https://marketbookshelf.com/publications/total-market-approach-condoms-myanmar-need-private-public-socially-marketed-sectors-work-together-sustainable-condom-market-hiv-prevention/"
"Using Total Market Approaches in Condom Programs","https://marketbookshelf.com/publications/using-total-market-approaches-condom-programs/"
"Developing Total Market Strategies for Family Planning in Nicaragua: Enhancing public-private coordination for equity and sustainability","https://marketbookshelf.com/publications/developing-total-market-strategies-family-planning-nicaragua/"
"Search results","https://marketbookshelf.com/search-results/"
"Market Development Approaches Scoping Report","https://marketbookshelf.com/publications/market-development-approaches-scoping-report/"
"Policy Advocacy for Total Market Approaches for Family Planning","https://marketbookshelf.com/publications/policy-advocacy-total-market-approaches-family-planning/"
"Stakeholder perceptions of a total market approach to family planning in Nicaragua","https://marketbookshelf.com/publications/stakeholder-perceptions-total-market-approach-family-planning-nicaragua/"
"Bangladesh Contraceptive Market Segmentation Analysis","https://marketbookshelf.com/publications/bangladesh-contraceptive-market-segmentation-analysis/"
"Developing a Total Market Plan for Family Planning in Vietnam: An innovative public and private collaboration to enhance equity and sustainability","https://marketbookshelf.com/publications/developing-total-market-plan-family-planning-vietnam/"
"Uganda: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/uganda-total-market-approach-male-condoms/"
"Botswana: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/botswana-total-market-approach-male-condoms/"
"Swaziland: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/swaziland-total-market-approach-male-condoms/"
"Mali: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/mali-total-market-approach-male-condoms/"
"Lesotho: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/lesotho-total-market-approach-male-condoms/"
"South Africa: A Total Market Approach for Male Condoms","https://marketbookshelf.com/publications/south-africa-total-market-approach-male-condoms/"
"Contracting Reproductive Health Services in Rural Tanzania","https://marketbookshelf.com/publications/contracting-reproductive-health-services-rural-tanzania/"
"The Total Market Approach: Steps to Successful Implementation with Country Cases","https://marketbookshelf.com/publications/total-market-approach-steps-successful-implementation-country-cases/"
"Total Market Initiatives: A Systemic Approach","https://marketbookshelf.com/publications/total-market-initiatives-systemic-approach/"
"Maximizing Private Sector Contribution to Family Planning in the Europe & Eurasia Region: Context Analysis and Review of Strategies","https://marketbookshelf.com/publications/maximizing-private-sector-contribution-family-planning-europe-eurasia-region-context-analysis-review-strategies/"
"Social Marketing: Leveraging the private sector to improve contraceptive access, choice, and use","https://marketbookshelf.com/publications/social-marketing-leveraging-private-sector-improve-contraceptive-access-choice-use/"
"Social Marketing Models for Product-Based Reproductive Health Programs: A Comparative Analysis","https://marketbookshelf.com/publications/social-marketing-models-product-based-reproductive-health-programs-comparative-analysis/"
"Sayana Press Introduction: Social Marketing Considerations","https://marketbookshelf.com/publications/sayana-press-introduction-social-marketing-considerations/"
"Using Market Segmentation to Understand the Total Market in Paraguay","https://marketbookshelf.com/publications/using-market-segmentation-understand-total-market-paraguay/"
"Jordan Family Planning Users’ Profiles and Market Segmentation Analysis: A review of the literature and available data","https://marketbookshelf.com/publications/jordan-family-planning-users-profiles-market-segmentation-analysis-review-literature-available-data/"
"Work Plan for Contraceptive Total Market in Vietnam","https://marketbookshelf.com/publications/work-plan-contraceptive-total-market-vietnam/"
"Nicaragua Family Planning Market Segmentation Analysis","https://marketbookshelf.com/publications/nicaragua-family-planning-market-segmentation-analysis/"
"Enhancing Equity and Sustainability of Public-Sector Family Planning Through Total Market Approaches","https://marketbookshelf.com/publications/enhancing-equity-sustainability-public-sector-family-planning/"
"Total Market Initiatives for Family Planning","https://marketbookshelf.com/publications/total-market-initiatives-family-planning/"
"Road-Mapping a Total Market Approach: Eastern Europe and Central Asia Workshops April 2013","https://marketbookshelf.com/publications/road-mapping-total-market-approach-eastern-europe-central-asia-workshops-april-2013/"
"Stronger Markets, Essential Access to Maternal Health Supplies: Global Advocacy Recommendations","https://marketbookshelf.com/publications/stronger-markets-essential-access-maternal-health-supplies-global-advocacy-recommendations/"
"Family Planning Market Report &#8211; May 2015","https://marketbookshelf.com/publications/family-planning-market-report-2015/"
"Family Planning Market Report &#8211; August 2016","https://marketbookshelf.com/publications/family-planning-market-report-2016/"
"Summary of August 2015 CSP Contraceptive Implant Demand Forecast","https://marketbookshelf.com/publications/summary-august-2015-csp-contraceptive-implant-demand-forecast/"
"Summary of August 2016 CSP Contraceptive Implant Demand Forecast","https://marketbookshelf.com/publications/summary-august-2016-csp-contraceptive-implant-demand-forecast/"
"Shaping the Market","https://marketbookshelf.com/publications/shaping-the-market/"
"Assessment of India&#8217;s Locally Manufactured Contraceptive Product Supply","https://marketbookshelf.com/publications/assessment-indias-locally-manufactured-contraceptive-product-supply/"
"RH COMMODITY SECURITY: ADEQUACY OF THE INTERNATIONAL ARCHITECTURE FOR FINANCE AND SUPPLY","https://marketbookshelf.com/publications/rh-commodity-security-adequacy-international-architecture-finance-supply/"
"Global Contraceptive Commodity Gap Analysis Summary","https://marketbookshelf.com/publications/global-contraceptive-commodity-gap-analysis-summary/"
"Ensuring Local Access to Contraceptive Supplies Through Public-Private Partnership Under a Total Market Approach","https://marketbookshelf.com/publications/ensuring-local-access-contraceptive-supplies-public-private-partnership-total-market-approach/"
"Effect of the Affordable Medicines Facility-malaria on the availability, price, and market share of quality-assured artemisinin-based combination therapies in seven countries: a before-and-after analysis of outlet survey data","https://marketbookshelf.com/publications/effect-affordable-medicines-facility-malaria-availability-price-market-share-quality-assured-artemisinin-based-combination-therapies-seven-countries-analy/"
"Evidence of successful malaria case management policy implementation in Cambodia: results from national ACTwatch outlet surveys","https://marketbookshelf.com/publications/350/"
"Got ACTs? Availability, price, market share and provider knowledge of anti-malarial medicines in public and private sector outlets in six malaria-endemic countries","https://marketbookshelf.com/publications/got-acts-availability-price-market-share-provider-knowledge-anti-malarial-medicines-public-private-sector-outlets-six-malaria-endemic-countries/"
"ACTwatch Nigeria 2015 Outlet Survey Results","https://marketbookshelf.com/publications/actwatch-nigeria-2015-outlet-survey-results/"
"Nigeria: 2015 FPwatch Outlet Survey","https://marketbookshelf.com/publications/nigeria-2015-fpwatch-outlet-survey/"
"DRC: Katanga FPwatch Overview","https://marketbookshelf.com/publications/drc-katanga-fpwatch-overview/"
"Myanmar 2015 ACTwatch Outlet Survey Results","https://marketbookshelf.com/publications/myanmar-2015-actwatch-outlet-survey-results/"
"Antimalarial market complexity and diversity across 8 sub-Saharan African countries one decade after the introduction of artemisinin combination therapy","https://marketbookshelf.com/publications/antimalarial-market-complexity-diversity-across-8-sub-saharan-african-countries-one-decade-introduction-artemisinin-combination-therapy/"
"Prices and mark-ups on antimalarials: evidence from nationally representative studies in six malaria-endemic countries","https://marketbookshelf.com/publications/prices-mark-ups-antimalarials-evidence-nationally-representative-studies-six-malaria-endemic-countries/"
"Malaria, medicines, and miles: Investigating household access to malaria treatment","https://marketbookshelf.com/publications/malaria-medicines-miles-investigating-household-access-malaria-treatment/"
"Increasing Access to Essential Maternal Health Supplies: A scoping of market-based activities, gaps and opportunities","https://marketbookshelf.com/publications/increasing-access-essential-maternal-health-supplies-scoping-market-based-activities-gaps-opportunities/"
"Stronger Markets, Increased Access to Essential Maternal Health Supplies: Advocacy Recommendations for Bangladesh","https://marketbookshelf.com/publications/stronger-markets-increased-access-essential-maternal-health-supplies-advocacy-recommendations-bangladesh/"
"Stronger Markets, Increased Access to Essential Maternal Health Supplies:  Advocacy Recommendations for Nigeria","https://marketbookshelf.com/publications/stronger-markets-increased-access-essential-maternal-health-supplies-advocacy-recommendations-nigeria/"
"Introduction of a New LNG-IUS: Summary of a Market Assessment (Kenya)","https://marketbookshelf.com/publications/introduction-new-lng-ius-summary-market-assessment-kenya/"
"Applying a Total Market Approach to DMPA-SC","https://marketbookshelf.com/publications/applying-total-market-approach-dmpa-sc/"
"Expanding Access to HIV Self-Testing: A Market Development Approach","https://marketbookshelf.com/publications/expanding-access-hiv-self-testing-market-development-approach/"
